Record Start Date,Record End Date,Source ID,Source ID Description,ID,Type,Type Name,Category,Status,Roadway ID,Segment ID,NDOT Link ID,Route,ID From Route,ID To Route,Link Description,Controller ID,Roadmarker,Latitude,Longitude,Assetid,Location,Owner,Maintenance,Jurisdiction
08/02/2007 10:25,05/01/2008 08:23,1,FAST FMS,114,3,CCTV,1,-1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167088,-115.159897,15004206,I-15 SB near I-515 and Bonneville Avenue,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
09/21/2007 11:59,08/12/2008 09:36,1,FAST FMS,47,4,Detector Station,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,231,42.227,36.165501,-115.160301,015004206,I-15 SB  between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
05/01/2008 08:23,05/01/2008 08:24,1,FAST FMS,114,3,CCTV,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167099,-115.159897,15004206,I-15 SB near I-515 and Bonneville Avenue,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
05/01/2008 08:24,05/01/2008 11:08,1,FAST FMS,114,3,CCTV,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167099,-115.159897,15004206,I-15 SB near I-515 and Bonneville Avenue,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
05/01/2008 11:08,05/01/2008 11:10,1,FAST FMS,114,3,CCTV,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167099,-115.159897,15004206,I-15 SB near I-515 and Bonneville Avenue,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
05/01/2008 11:10,08/18/2010 13:42,1,FAST FMS,114,3,CCTV,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167099,-115.159897,15004206,I-15 SB near I-515 and Bonneville Avenue,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/12/2008 09:36,08/12/2008 09:42,1,FAST FMS,47,4,Detector Station,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,231,42.227,36.165501,-115.160301,015004206,I-15 SB  between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/12/2008 09:42,08/19/2008 07:48,1,FAST FMS,47,4,Detector Station,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,231,42.227,36.17226,-115.156998,015004206,I-15 SB  between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/19/2008 07:48,08/17/2010 09:51,1,FAST FMS,47,4,Detector Station,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,231,42.227,36.172298,-115.156998,015004206,I-15 SB  between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,09/21/2007 11:59,1,FAST FMS,47,4,Detector Station,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,231,42.227,36.165501,-115.160301,015004206,I-15 SB  between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/18/2010 13:42,08/27/2010 05:50,1,FAST FMS,114,3,CCTV,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167099,-115.159897,15004206,I-15 SB at Bonneville,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/17/2010 09:51,,1,FAST FMS,47,4,Detector Station,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,231,42.227,36.172298,-115.156998,015004206,I-15 SB US-95 SB to I-15 SB Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/27/2010 05:50,09/16/2011 12:50,1,FAST FMS,114,3,CCTV,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167099,-115.159897,15004206,I-15 SB at Bonneville,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
09/16/2011 12:50,,1,FAST FMS,114,3,CCTV,1,1,123,1,030092,IR-15,Charleston Bl Intch.,L.V. Ex Intch.,,75,42.31,36.167099,-115.159897,15004206,I-15 SB at Bonneville,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
